abial	阿扁
aizholg	癌肿
aizibilg	艾滋病
ajiluo	阿基诺
akalg	阿康
al	按
aladilg	阿拉丁
alagolg	阿拉贡
alan	暗暗
alande	暗暗地
alasfan	阿拉善
alashal	阿拉善
alba	安吧
alban	案板
albang	安邦
albao	安保
albei	安倍
albian	岸边
albiaozhun	按标准
albili	按比例
albu	按不
albutong	按不同
alcang	暗藏
alcangzhe	暗藏着
alcha	安插
alchajian	氨茶碱
alchang	暗娼
alchanggui	按常规
alchashi	按察使
alchen	暗沉
alchu	暗处
alchuang	暗疮
alchun	鹌鹑
alchundan	鹌鹑蛋
alci	按此
alcun	暗忖
alcuo	按错
alcuole	按错了
aldalve	安大略
aldan	暗淡
aldangdi	按当地
aldao	暗道
aldaoli	按道理
aldaxin	安达信
alde	俺的
aldelie	安德烈
aldelu	安德鲁
aldesen	安德森
aldi	暗地
aldili	暗地里
alding	安定
aldingmen	安定门
aldingxing	安定性
aldong	按动
aldongni	安东尼
aldu	安度
aldun	安顿
aldunhao	安顿好
alfa	案发
alfahou	案发后
alfalv	按法律
alfan	案犯
alfang	安放
alfen	安分
alfu	安抚
alg	昂
algai	暗改
algaile	暗改了
algang	暗杠
algcang	昂藏
algda	昂达
alge	按个
algela	安哥拉
algesi	安格斯
algfen	昂奋
alggelu	盎格鲁
alggui	昂贵
algli	昂立
algqi	昂起
algran	盎然
algshou	昂首
algsi	盎司
alguanli	按惯例
algui	安规
alguiding	按规定
alguila	安圭拉
alguoji	按国际
alguojia	按国家
algyang	昂扬
algzang	肮脏
algzangde	肮脏的
algzhetou	昂着头
alhai	俺还
alhan	暗含
alhangye	按行业
alhao	暗号
alhe	暗河
alhei	暗黑
alhese	暗褐色
alhetong	按合同
alhong	暗红
alhongse	暗红色
alhu	按户
alhua	暗花
alhuang	暗黄
alhui	安徽
alhuiche	按回车
alhuisheng	安徽省
alhuo	暗火
alial	阿莲
alialg	阿亮
alialqiu	阿联酋
alisfan	阿里山
alishal	阿里山
aliu	阿牛
alji	氨基
aljia	安家
aljiafei	安家费
aljian	按键
aljianju	安监局
aljianshi	案件时
aljianzhong	案件中
aljiao	按脚
aljiben	按基本
aljie	按揭
aljielun	安捷伦
aljihua	按计划
aljin	按进
aljing	安静
aljingde	安静的
aljingle	安静了
aljisuan	氨基酸
aljixian	安吉县
alju	安居
aljuan	案卷
alkai	按开
alkan	俺看
alkang	安康
alkangshi	安康市
alkebi	按可比
alkouer	按扣儿
alla	安啦
allaba	按喇叭
alle	按了
allei	按类
allesi	安乐死
alli	案例
allian	暗恋
alliang	按量
allihui	安理会
allilu	安立路
allishuo	按理说
alliu	暗流
allun	氨纶
allushan	安禄山
alma	暗骂
almei	俺妹
almeibo	安美波
almeige	按每个
almen	俺们
almenling	按门铃
almian	安眠
almianyao	安眠药
almiao	按秒
almie	黯灭
almin	安民
almo	按摩
almobang	按摩棒
almofa	按摩法
almoqi	按摩器
almoshi	按摩师
almoyi	按摩椅
almoyou	按摩油
almoyuan	按摩院
almuqian	按目前
alna	安娜
alnan	安南
alneng	安能
alni	按你
alnian	按年
alniang	俺娘
alnide	按你的
alning	安宁
alniu	按钮
alniushi	按钮时
alolg	阿龙
alolgsuo	阿隆索
alpai	安排
alpaibiao	安排表
alpaihao	安排好
alpaile	安排了
alpaixia	安排下
alpei	安培
alpi	按批
alpin	安贫
alpingxian	安平县
alqi	按其
alqier	安琪儿
alqila	安其拉
alqing	案情
alqingshi	安庆市
alqiushi	安丘市
alqixuan	安七炫
alqiye	按企业
alquan	安全
alquanbu	安全部
alquandai	安全带
alquande	安全的
alquandu	安全度
alquanfa	安全法
alquangan	安全感
alquanguan	安全观
alquanji	安全级
alquanju	安全局
alquanma	安全吗
alquanmao	安全帽
alquanmen	安全门
alquanqi	安全期
alquanqu	安全区
alquantao	安全套
alquanwang	安全网
alquanxing	安全性
alquanyuan	安全员
alran	安然
alren	按人
alrentou	按人头
alri	按日
alse	暗色
alsha	暗杀
alshang	安上
alshanshi	鞍山市
alshe	安设
alshen	安神
alsheng	安生
alshi	按时
alshichang	按市场
alshixing	暗示性
alshizhe	暗示着
alshu	按书
alshui	氨水
alshunshi	安顺市
alshunxu	按顺序
alshuo	按说
alshushang	按书上
alsuan	暗算
alta	安踏
altai	安胎
altan	暗叹
altian	安恬
altie	安帖
altou	案头
altu	按图
altusheng	安徒生
aluo	阿诺
aluode	阿诺德
alwairen	案外人
alwang	暗网
alwei	安慰
alweihui	安委会
alweiji	安慰剂
alweisai	安慰赛
alweita	安慰他
alweixun	安位薰
alweiyu	按位与
alweizhe	安慰着
alwen	安稳
alwo	按我
alwuzhi	暗物质
alxi	安息
alxia	按下
alxiali	暗下里
alxian	岸线
alxiang	安详
alxiangmu	按项目
alxianxing	按现行
alxianzai	按现在
alxiao	暗笑
alxiashu	按下述
alxie	安歇
alxieyi	按协议
alxin	安心
alxiri	安息日
alxu	按需
alya	按压
alyan	铵盐
alyangshi	安阳市
alyangxian	安阳县
alyao	俺要
alyaoqiu	按要求
alye	俺也
alyi	安逸
alyiban	按一般
alyiding	按一定
alying	暗影
alyixia	按一下
alyong	暗涌
alyou	案由
alyouguan	按有关
alyu	安于
alyuan	案源
alyue	按月
alyueding	按约定
alzai	按在
alzang	安葬
alzhan	暗战
alzhang	按章
alzhao	按照
alzhe	按着
alzhege	按这个
alzhi	安置
alzhidi	安置地
alzhifang	安置房
alzhifei	安置费
alzhong	暗中
alzhongguo	按中国
alzhongliang	按重量
alzhu	按住
alzhuang	安装
alzhuangban	安装版
alzhuangbao	安装包
alzhuangfei	安装费
alzhuangguo	安装过
alzhuanghou	安装后
alzhuangle	安装了
alzhuangpan	安装盘
alzhuangshi	安装时
alzhuangwan	安装完
alzhuangyou	安装有
alzhuangzai	安装在
alzi	案子
alziji	按自己
alzimu	按字母
alzuo	安坐
amal	阿曼
amali	阿玛尼
amel	阿门
amelg	阿盟
amilg	阿明
ana	啊啦
anabo	阿拉伯
anading	阿拉丁
anagong	阿拉贡
anal	暗暗
analde	暗暗地
anashan	阿拉善
anbal	案板
anbalg	安邦
anbial	岸边
anbiaozfun	按标准
anbiaozhul	按标准
anbini	按比例
anbiri	按比例
anbutolg	按不同
ancalg	暗藏
ancalgzhe	暗藏着
ancangzfe	暗藏着
ancfa	安插
ancfajian	氨茶碱
ancfang	暗娼
ancfanggui	按常规
ancfashi	按察使
ancfen	暗沉
ancfu	暗处
ancfuang	暗疮
ancfun	鹌鹑
ancfundan	鹌鹑蛋
anchajial	氨茶碱
anchalg	暗娼
anchalggui	按常规
anchasfi	按察使
anchel	暗沉
anchualg	暗疮
anchul	鹌鹑
anchuldan	鹌鹑蛋
anchundal	鹌鹑蛋
ancul	暗忖
ancuone	按错了
ancuore	按错了
andal	暗淡
andalgdi	按当地
andanve	安大略
andaoni	按道理
andaori	按道理
andarve	安大略
andaxil	安达信
andenie	安德烈
andenu	安德鲁
anderie	安德烈
anderu	安德鲁
andesel	安德森
andilg	安定
andilgmen	安定门
andilgxing	安定性
andingmel	安定门
andingxilg	安定性
andini	暗地里
andiri	暗地里
andolg	按动
andolgni	安东尼
andongli	安东尼
andul	安顿
andulhao	安顿好
andunfao	安顿好
anetai	阿勒泰
anfafou	案发后
anfai	俺还
anfal	案犯
anfalg	安放
anfangye	按行业
anfanv	按法律
anfao	暗号
anfarv	按法律
anfe	暗河
anfei	暗黑
anfel	安分
anfese	暗褐色
anfetong	按合同
anfong	暗红
anfongse	暗红色
anfua	暗花
anfuang	暗黄
anfui	安徽
anfuiche	按回车
anfuisheng	安徽省
anfuo	暗火
angaine	暗改了
angaire	暗改了
angalg	暗杠
angcalg	昂藏
angena	安哥拉
angera	安哥拉
angfel	昂奋
anggenu	盎格鲁
anggeru	盎格鲁
anghen	昂奋
anglan	盎然
angni	昂立
angral	盎然
angri	昂立
angsfou	昂首
angualli	按惯例
anguanni	按惯例
anguanri	按惯例
anguidilg	按规定
anguina	安圭拉
anguira	安圭拉
angyalg	昂扬
angzalg	肮脏
angzalgde	肮脏的
angzfetou	昂着头
anha	案发
anhahou	案发后
anhal	暗含
anhalgye	按行业
anhalv	按法律
anhang	安放
anhetolg	按合同
anholg	暗红
anholgse	暗红色
anhualg	暗黄
anhuicfe	按回车
anhuisfeng	安徽省
anhuishelg	安徽省
anian	阿莲
anianqiu	阿联酋
anishan	阿里山
anjiahei	安家费
anjial	按键
anjialju	安监局
anjialshi	案件时
anjialzhong	案件中
anjiansfi	案件时
anjianzfong	案件中
anjianzholg	案件中
anjibel	按基本
anjielul	安捷伦
anjienun	安捷伦
anjierun	安捷伦
anjifua	按计划
anjil	按进
anjilg	安静
anjilgde	安静的
anjilgle	安静了
anjingne	安静了
anjingre	安静了
anjisual	氨基酸
anjixial	安吉县
anjual	案卷
ankal	俺看
ankalg	安康
ankalgshi	安康市
ankangsfi	安康市
ankouel	按扣儿
anlen	按人
anleng	安能
anlentou	按人头
anlial	暗恋
anlialg	按量
anlide	按你的
anlifui	安理会
anlinu	安立路
anliru	安立路
anlisfuo	按理说
anliushi	按钮时
anlul	氨纶
anlusfan	安禄山
anlushal	安禄山
anmel	俺们
anmelling	按门铃
anmenlilg	按门铃
anmenning	按门铃
anmenring	按门铃
anmial	安眠
anmialyao	安眠药
anmil	安民
anmobalg	按摩棒
anmoha	按摩法
anmosfi	按摩师
anmoyual	按摩院
anmuqial	按目前
annaba	按喇叭
annal	安南
anne	按了
annelg	安能
annesi	安乐死
annial	按年
annialg	俺娘
annihui	安理会
annilg	安宁
annilu	安立路
annishuo	按理说
anniusfi	按钮时
annun	氨纶
annushan	安禄山
anong	阿龙
anongsuo	阿隆索
anpaifao	安排好
anpaine	安排了
anpaire	安排了
anpil	安贫
anpilgxian	安平县
anpingxial	安平县
anqiel	安琪儿
anqilg	案情
anqilgshi	安庆市
anqina	安其拉
anqingsfi	安庆市
anqira	安其拉
anqiusfi	安丘市
anqixual	安七炫
anqual	安全
anqualbu	安全部
anqualdai	安全带
anqualde	安全的
anqualdu	安全度
anqualfa	安全法
anqualgan	安全感
anqualguan	安全观
anqualji	安全级
anqualju	安全局
anqualma	安全吗
anqualmao	安全帽
anqualmen	安全门
anqualqi	安全期
anqualqu	安全区
anqualtao	安全套
anqualwang	安全网
anqualxing	安全性
anqualyuan	安全员
anquangal	安全感
anquangual	安全观
anquanha	安全法
anquanmel	安全门
anquanwalg	安全网
anquanxilg	安全性
anquanyual	安全员
anra	安啦
anraba	按喇叭
anral	安然
anre	按了
anrei	按类
anrel	按人
anreltou	按人头
anresi	安乐死
anrian	暗恋
anriang	按量
anrihui	安理会
anrilu	安立路
anrishuo	按理说
anriu	暗流
anrun	氨纶
ansfa	暗杀
ansfang	安上
ansfanshi	鞍山市
ansfe	安设
ansfen	安神
ansfeng	安生
ansfi	按时
ansfichang	按市场
ansfixing	暗示性
ansfizhe	暗示着
ansfu	按书
ansfui	氨水
ansfunshi	安顺市
ansfunxu	按顺序
ansfuo	按说
ansfushang	按书上
anshalg	安上
anshalshi	鞍山市
anshansfi	鞍山市
anshel	安神
anshelg	安生
anshicfang	按市场
anshichalg	按市场
anshixilg	暗示性
anshizfe	暗示着
anshulshi	安顺市
anshulxu	按顺序
anshunsfi	安顺市
anshusfang	按书上
anshushalg	按书上
ansual	暗算
antal	暗叹
antial	安恬
antusfeng	安徒生
antushelg	安徒生
anwailen	案外人
anwairel	案外人
anwalg	暗网
anweifui	安委会
anweixul	安位薰
anweizfe	安慰着
anwel	安稳
anwuzfi	暗物质
anxial	岸线
anxialg	安详
anxialgmu	按项目
anxialxing	按现行
anxialzai	按现在
anxiani	暗下里
anxianxilg	按现行
anxiari	暗下里
anxiasfu	按下述
anxil	安心
anxili	安息日
anyal	铵盐
anyalgshi	安阳市
anyalgxian	安阳县
anyangsfi	安阳市
anyangxial	安阳县
anyibal	按一般
anyidilg	按一定
anyilg	暗影
anyolg	暗涌
anyougual	按有关
anyual	案源
anyuedilg	按约定
anzalg	安葬
anzfan	暗战
anzfang	按章
anzfao	按照
anzfe	按着
anzfege	按这个
anzfi	安置
anzfidi	安置地
anzfifang	安置房
anzfifei	安置费
anzfong	暗中
anzfongguo	按中国
anzfongliang	按重量
anzfu	按住
anzfuang	安装
anzfuangban	安装版
anzfuangbao	安装包
anzfuangfei	安装费
anzfuangguo	安装过
anzfuanghou	安装后
anzfuangle	安装了
anzfuangpan	安装盘
anzfuangshi	安装时
anzfuangwan	安装完
anzfuangyou	安装有
anzfuangzai	安装在
anzhal	暗战
anzhalg	按章
anzhifalg	安置房
anzhihang	安置房
anzhihei	安置费
anzholg	暗中
anzholgguo	按中国
anzholgliang	按重量
anzhonglialg	按重量
anzhongniang	按重量
anzhongriang	按重量
anzhualg	安装
anzhualgban	安装版
anzhualgbao	安装包
anzhualgfei	安装费
anzhualgguo	安装过
anzhualghou	安装后
anzhualgle	安装了
anzhualgpan	安装盘
anzhualgshi	安装时
anzhualgwan	安装完
anzhualgyou	安装有
anzhualgzai	安装在
anzhuangbal	安装版
anzhuangfou	安装后
anzhuanghei	安装费
anzhuangne	安装了
anzhuangpal	安装盘
anzhuangre	安装了
anzhuangsfi	安装时
anzhuangwal	安装完
aobal	凹版
aocfeng	熬成
aocfu	熬出
aocfuang	奥创
aochelg	熬成
aochualg	奥创
aodaini	奥黛丽
aodairi	奥黛丽
aodilg	奥丁
aodini	奥地利
aodiri	奥地利
aoelfu	奥尔夫
aoerhu	奥尔夫
aofe	螯合
aofui	懊悔
aojilgfeng	奥井枫
aojingfelg	奥井枫
aojingheng	奥井枫
aokalg	奥康
aokelal	奥克兰
aokelg	凹坑
aokenan	奥克兰
aokeran	奥克兰
aolal	熬烂
aolaldian	熬烂点
aolalduo	奥兰多
aolalle	熬烂了
aolandial	熬烂点
aolanne	熬烂了
aolanre	熬烂了
aolao	懊恼
aolen	傲人
aoliantou	熬年头
aolier	奥尼尔
aolihu	奥利弗
aomal	傲慢
aomel	澳门
aonan	熬烂
aonandian	熬烂点
aonanduo	奥兰多
aonanle	熬烂了
aone	熬了
aonialtou	熬年头
aoniel	奥尼尔
aonifu	奥利弗
aoqual	獒犬
aoral	傲然
aorandian	熬烂点
aoranduo	奥兰多
aoranle	熬烂了
aore	熬了
aorel	傲人
aori	傲立
aorifu	奥利弗
aosaibal	奥赛班
aosalg	懊丧
aosfi	傲视
aosfiti	奥氏体
aosfu	奥数
aosimal	奥斯曼
aosinu	奥斯陆
aosiru	奥斯陆
aositilg	奥斯汀
aotalg	熬汤
aotemal	奥特曼
aotouel	熬头儿
aoweiel	奥威尔
aoweifui	奥委会
aoxial	凹陷
aoxialchu	凹陷处
aoxialg	翱翔
aoxiancfu	凹陷处
aoyil	凹印
aoyual	澳元
aoyul	奥运
aoyulcun	奥运村
aoyulhui	奥运会
aoyuncul	奥运村
aoyunfui	奥运会
aozfan	鏖战
aozfe	熬着
aozfi	熬制
aozfou	澳洲
aozfu	熬煮
aozhal	鏖战
aqialg	阿强
aqilg	阿青
ara	啊啦
arabo	阿拉伯
arading	阿拉丁
aragong	阿拉贡
arashan	阿拉善
aretai	阿勒泰
arian	阿莲
ariang	阿亮
arianqiu	阿联酋
arishan	阿里山
arongsuo	阿隆索
asal	阿三
asalg	阿桑
aselna	阿森纳
aselsong	阿森松
asenla	阿森纳
asensolg	阿森松
asfenme	啊什么
asfi	啊是
asfima	阿诗玛
asfixue	阿是穴
asfu	阿叔
ashelme	啊什么
atolgmu	阿童木
atuopil	阿托品
awelg	阿翁
axil	阿信
axiunuo	阿修罗
axiuruo	阿修罗
ayilg	阿英
ayuwalg	阿育王
azfe	啊这
azfeer	啊这儿
azfen	阿珍
azfu	阿朱
azheel	啊这儿
azhel	阿珍
babailian	八百年
babaini	八百里
babainial	八百年
babairi	八百里
babaiyual	八百元
babalian	八八年
babana	芭芭拉
babanial	八八年
babaofal	八宝饭
babaohan	八宝饭
babaosfan	八宝山
babaoshal	八宝山
babaozfou	八宝粥
babara	芭芭拉
babielen	把别人
babierel	把别人
babilg	把柄
babilul	巴比伦
babinun	巴比伦
babirun	巴比伦
babutolg	把不同
bacelg	八层
bacfang	靶场
bacfanpin	把产品
bacfe	把车
bacfeng	八成
bacfi	把持
bacfu	拔出
bacfulai	拔出来
bachalg	靶场
bachalpin	把产品
bachanpil	把产品
bachelg	八成
bachunai	拔出来
bachurai	拔出来
bacifalg	八次方
bacihang	八次方
bacul	八寸
badacfu	八大处
badagual	八大关
badalilg	八达岭
badaning	八达岭
badaring	八达岭
badial	八点
badialban	八点半
badialhua	把电话
badialshi	把电视
badialzhong	八点钟
badianbal	八点半
badianfua	把电话
badiansfi	把电视
badianzfong	八点钟
badianzholg	八点钟
badolgxi	把东西
badolgxian	巴东县
badongxial	巴东县
badual	八段
baduifalg	把对方
baduihang	把对方
bael	把儿
baelduo	把耳朵
baelgan	巴尔干
baelnian	八二年
baergal	巴尔干
baerlian	八二年
baernial	八二年
bafa	巴哈
bafaier	八孩儿
bafaizi	把孩子
bafalg	八方
bafalgzi	把房子
bafama	巴哈马
bafao	把好
bafazfan	把发展
bafazhal	把发展
bafe	拔河
bafel	八分
bafelg	把风
bafelzhong	八分钟
bafenduo	把很多
bafenzfong	八分钟
bafenzholg	八分钟
bafua	把话
bafuan	八环
bafuang	八荒
bafuo	把货
bafuotong	拔火筒
bagelen	把个人
bagelgduo	把更多
bagerel	把个人
bagezfong	把各种
bagezholg	把各种
bagolg	罢工
bagolgsi	把公司
bagolgzuo	把工作
baguafai	八挂海
bagual	把关
bagualilg	八卦岭
baguaning	八卦岭
baguaring	八卦岭
baguazfang	八卦掌
baguazhalg	八卦掌
baguolei	把国内
baguwel	八股文
bahaiel	八孩儿
bahangzi	把房子
bahazhan	把发展
baheite	巴菲特
bahel	疤痕
bahelduo	把很多
baheng	把风
bahenzhong	八分钟
bahual	八环
bahualg	八荒
bahuotolg	拔火筒
baialju	百安居
baiaone	白熬了
baiaore	白熬了
baibaisfou	摆摆手
baibal	百般
baibaoxialg	百宝箱
baibasfi	百八十
baibial	百变
baibilg	百病
baicaoyual	百草园
baicfa	白茶
baicfe	白扯
baicfeng	摆成
baicfenshan	白衬衫
baicfenyi	白衬衣
baicfi	白痴
baicfideng	白炽灯
baicfongxi	白崇禧
baicfu	摆出
baicfuan	百川
baichelg	摆成
baichelshan	白衬衫
baichelyi	白衬衣
baichensfan	白衬衫
baichenshal	白衬衫
baichidelg	白炽灯
baicholgxi	白崇禧
baichual	百川
baidalbai	白蛋白
baidalg	摆荡
baidelg	拜登
baidial	白点
baidialfeng	白癜风
baidianfelg	白癜风
baidianheng	白癜风
baidicfeng	白帝城
baidichelg	白帝城
baidilg	白丁
baidital	摆地摊
baidolg	摆动
baidolgzhe	摆动着
baidongzfe	摆动着
baiducfe	摆渡车
baidul	百吨
baiduyul	百度云
baielshi	百二十
baiersfi	百二十
baifal	白饭
baifalan	白发男
baifalg	摆放
baifalgle	拜访了
baifalgzhe	摆放着
baifalv	白发女
baifanal	白发男
baifangne	拜访了
baifangre	拜访了
baifangzfe	摆放着
baifao	摆好
baife	百合
baifehua	百合花
baifeine	白费了
baifeire	白费了
baifel	白粉
baifelbai	百分百
baifelbi	百分比
baifelbing	白粉病
baifelchi	百分尺
baifeldian	百分点
baifellv	百分率
baifelshu	百分数
baifelzhi	百分之
baifenbilg	白粉病
baifencfi	百分尺
baifendial	百分点
baifennv	百分率
baifenrv	百分率
baifensfu	百分数
baifenzfi	百分之
baifou	白喉
baifua	百花
baifuai	败坏
baifuajiang	百花奖
baifualin	白桦林
baifuang	白黄
baifuawen	白话文
baifuayuan	百花园
baifubalg	百富榜
baifui	拜会
baifujiao	白胡椒
baifun	白混
baifunde	白混的
baifuo	百货
baifuodian	百货店
baifuoye	百货业
baifuzi	白胡子
baigal	白干
baigolg	白宫
baigual	百官
baigualg	白光
baigujilg	白骨精
baiguoel	白果儿
baiha	白发
baihan	白饭
baihanan	白发男
baihang	摆放
baihangle	拜访了
baihangzhe	摆放着
baihanv	白发女
baihefua	百合花
baihei	白费
baiheile	白费了
baihen	白粉
baihenbai	百分百
baihenbi	百分比
baihenbing	白粉病
baihenchi	百分尺
baihendian	百分点
baihenlv	百分率
baihenshu	百分数
baihenzhi	百分之
baiho	拜佛
baihuajialg	百花奖
baihualg	白黄
baihualil	白桦林
baihuanin	白桦林
baihuarin	白桦林
baihuawel	白话文
baihuayual	百花园
baihubang	百富榜
baihul	白混
baihulde	白混的
baihuodial	百货店
baijial	拜见
baijiaxilg	百家姓
baijiazfuang	白家庄
baijiazhualg	白家庄
baijibilg	百吉饼
baijil	白金
baijilban	白金版
baijilg	白净
baijilgjing	白晶晶
baijilka	白金卡
baijinbal	白金版
baijingjilg	白晶晶
baijiqual	百吉圈
baijitul	白𬶨豚
baijul	败军
baikaisfui	白开水
bailal	摆烂
bailaldi	白兰地
bailalg	白狼
bailao	白饶
bailaofui	百老汇
bailehua	白热化
baileizhang	白内障
bailemel	百乐门
bailen	百人
baileng	白扔
bailengle	白扔了
bailengqian	白扔钱
bailial	白脸
bailialg	百两
bailialjiao	白莲教
bailiangzi	白娘子
bailianlai	百年来
bailiao	百鸟
baililg	白领
baililgniao	百灵鸟
bailimeng	白日梦
bailingliao	百灵鸟
bailixialg	百里香
bailolg	白龙
bailongzhe	摆弄着
bailujiao	白乳胶
bailuzfou	白鹭洲
baimaine	白买了
baimaire	白买了
baimal	摆满
baimalg	白忙
baimalgmang	白茫茫
baimalgzhong	百忙中
baimangmalg	白茫茫
baimangzfong	百忙中
baimangzholg	百忙中
baimaolv	白毛女
baimelg	拜盟
baimial	白面
baimifal	白米饭
baimihan	白米饭
baimilg	摆明
baimilgdan	白名单
baimingdal	白名单
bainai	白来
bainan	摆烂
bainandi	白兰地
bainang	白狼
bainaofui	百脑汇
baine	摆了
bainei	败类
baineizfang	白内障
baineizhalg	白内障
bainel	白嫩
bainemen	百乐门
bainial	百年
bainialgzi	白娘子
bainiallai	百年来
bainiang	百两
bainianjiao	白莲教
bainiannai	百年来
bainianrai	百年来
bainie	摆列
baining	白领
bainingniao	百灵鸟
bainixiang	百里香
bainolg	摆弄
bainolgzhe	摆弄着
bainongzfe	摆弄着
bainou	白楼
bainu	白鹭
bainuobo	白萝卜
bainuzhou	白鹭洲
baipial	百篇
baipilg	摆平
baipilgheng	白平衡
baipingfeng	白平衡
baipinghelg	白平衡
baipisfu	白皮书
baiqial	百千
baiqialg	百强
baiqialgxian	百强县
baiqialmi	百千米
baiqiangxial	百强县
baiqiuel	白求恩
baiqul	白裙
baira	白蜡
bairai	白来
bairandi	白兰地
bairang	白狼
bairaohui	百老汇
bairefua	白热化
bairei	败类
bairel	百人
bairelg	白扔
bairelgle	白扔了
bairelgqian	白扔钱
bairemen	百乐门
bairengne	白扔了
bairengqial	白扔钱
bairengre	白扔了
bairian	白脸
bairiang	百两
bairianjiao	白莲教
bairie	摆列
bairimelg	白日梦
bairing	白领
bairingniao	百灵鸟
bairixiang	百里香
bairong	白龙
bairuo	败落
bairuobo	白萝卜
bairuzhou	白鹭洲
baisesfi	百色市
baisexil	白色心
baisfa	白沙
baisfang	摆上
baisfanshi	白山市
baisfao	白芍
baisfatang	白砂糖
baisfe	摆设
baisfen	拜神
baisfezhuan	白蛇传
baisfi	百事
baisfishi	摆事实
baisfitong	百视通
baisfou	摆手
baisfouzhang	白手杖
baisfu	柏树
baisfuang	白霜
baisfui	白水
baisfuijing	白水晶
baisfuo	白说
baishalg	摆上
baishalshi	白山市
baishansfi	白山市
baishatalg	白砂糖
baishel	拜神
baishezfuan	白蛇传
baishezhual	白蛇传
baishisfi	摆事实
baishitolg	百视通
baishouzfang	白手杖
baishouzhalg	白手杖
baishualg	白霜
baishuijilg	白水晶
baisolg	白送
