aai	在
aeibi	未必
aeichengnian	未成年
aeichi	维持
aeici	为此
aeida	伟大
aeidade	伟大的
aeidaibiao	为代表
aeidao	味道
aeifa	违法
aeifan	违反
aeiguangda	为广大
aeigui	违规
aeihai	危害
aeihe	为何
aeihexin	为核心
aeihu	维护
aeihun	未婚
aeiji	危机
aeijichu	为基础
aeijing	未经
aeikehu	为客户
aeilai	未来
aeilaide	未来的
aeilerang	为了让
aeili	威力
aeimubiao	为目标
aeineng	未能
aeini	为你
aeinin	为您
aeiqi	为其
aeiqiye	为企业
aeiquan	维权
aeiquebao	为确保
aeirao	围绕
aeiren	为人
aeiruan	微软
aeisheng	卫生
aeishengbu	卫生部
aeishengjian	卫生间
aeishengsu	维生素
aeishengwu	微生物
aeishenme	为什么
aeisuo	猥琐
aeita	为他
aeituo	委托
aeituoren	委托人
aeiwang	威望
aeiwei	微微
aeiwo	为我
aeiwomen	为我们
aeixian	危险
aeixiande	危险的
aeixiao	微笑
aeixie	威胁
aeixin	微信
aeixing	卫星
aeixiu	维修
aeiye	尾页
aeiyi	唯一
aeiyide	唯一的
aeiyiti	为一体
aeiyou	唯有
aeiyu	位于
aeiyuan	委员
aeiyuanhui	委员会
aeiyue	违约
aeizao	伪造
aeizhi	位置
aeizhongdian	为重点
aeizhongxin	为中心
aeizhun	为准
aeizhuti	为主题
aeiziji	为自己
aeling	责令
aenben	文本
aendang	文档
aending	稳定
aendingde	稳定的
aendingxing	稳定性
aendu	温度
aeng	增
aengda	增大
aengduo	增多
aengfu	增幅
aengjia	增加
aengjiale	增加了
aengjin	增进
aengqiang	增强
aengqiangle	增强了
aengshou	增收
aengsong	赠送
aengsu	增速
aengzhang	增长
aengzhanglv	增长率
aengzhi	增值
aengzhishui	增值税
aenhe	温和
aenhou	问候
aenhua	文化
aenjian	文件
aenjiande	文件的
aenjianjia	文件夹
aenjianming	文件名
aenjianzhong	文件中
aenlin	森林
aenme	怎么
aenmeban	怎么办
aenmehui	怎么会
aenmele	怎么了
aenmeyang	怎么样
aenming	文明
aennuan	温暖
aenquan	温泉
aenrou	温柔
aenshu	文书
aenta	问他
aenti	问题
aentishi	问题是
aenwo	问我
aenwu	文物
aenxian	文献
aenxin	温馨
aenxue	文学
aenyang	怎样
aenyi	文艺
aenyiju	问一句
aenzhang	文章
aenzhou	温州
aenzhoushi	温州市
aenzi	文字
aeqing	色情
aeren	责任
aerengan	责任感
aerenren	责任人
aerenzhi	责任制
aeshi	则是
aeze	色泽
ag	按
agguiding	按规定
aghui	安徽
aghuisheng	安徽省
agi	阿姨
agjian	按键
agjing	安静
agli	案例
agmo	按摩
agniu	按钮
agpai	安排
agquan	安全
agquande	安全的
agquanxing	安全性
agshi	按时
agwei	安慰
agxia	按下
agzhao	按照
agzhi	安置
agzhu	按住
agzhuang	安装
ah	按
ahafa	沙发
ahai	晒
ahaiquan	债券
ahaiquanren	债权人
ahaiwu	债务
ahaixuan	筛选
ahaiyao	摘要
ahaizi	摘自
ahamo	沙漠
ahan	山
ahanchang	擅长
ahanchu	删除
ahande	站的
ahandi	占地
ahandian	站点
ahandong	山东
ahandongsheng	山东省
ahandou	战斗
ahang	上
ahangai	障碍
ahangban	上班
ahangbannian	上半年
ahangbao	上报
ahangbiao	商标
ahangchang	商场
ahangcheng	章程
ahangchuan	上传
ahangci	上次
ahangda	长大
ahangde	上的
ahangdi	上帝
ahangdian	商店
ahangfang	上方
ahangfu	丈夫
ahanghai	上海
ahanghaide	上海的
ahanghaishi	上海市
ahanghao	账号
ahanghu	账户
ahangji	上级
ahangjia	商家
ahangjie	章节
ahangkan	上看
ahangke	上课
ahangkou	伤口
ahanglai	上来
ahanglao	长老
ahangliang	商量
ahangmao	商贸
ahangmen	上门
ahangmian	上面
ahangpeng	帐篷
ahangpin	商品
ahangpinfang	商品房
ahangpu	商铺
ahangqu	上去
ahangren	商人
ahangsheng	上升
ahangshi	上市
ahangshiji	上世纪
ahangshu	上述
ahangsi	上司
ahangwang	上网
ahangwei	尚未
ahangwo	掌握
ahangwole	掌握了
ahangwu	上午
ahangwubu	商务部
ahangxia	上下
ahangxian	上线
ahangxin	伤心
ahangxue	上学
ahangye	商业
ahangyiye	上一页
ahangyong	商用
ahangyou	上有
ahangzhang	上涨
ahangzhou	上周
ahanhui	展会
ahanju	占据
ahankai	展开
ahanlan	展览
ahanlanhui	展览会
ahanliang	善良
ahanling	占领
ahanlve	战略
ahannei	站内
ahanqu	山区
ahanshang	山上
ahansheng	战胜
ahanshi	展示
ahanshile	展示了
ahanshu	战术
ahanshui	山水
ahanshuo	闪烁
ahanwei	展位
ahanxi	山西
ahanxian	展现
ahanxisheng	山西省
ahanyi	战役
ahanyong	占用
ahanyou	占有
ahanyu	善于
ahanzai	站在
ahanzhang	站长
ahanzheng	战争
ahanzhuang	山庄
ahanzi	擅自
ahaobiao	招标
ahaobudao	找不到
ahaochu	找出
ahaodao	找到
ahaodaole	找到了
ahaoge	找个
ahaogu	照顾
ahaokai	召开
ahaokaile	召开了
ahaole	少了
ahaoliang	少量
ahaoming	照明
ahaonian	少年
ahaonv	少女
ahaopian	照片
ahaopin	招聘
ahaoshang	招商
ahaosheng	招生
ahaoshou	招收
ahaoshu	少数
ahaowei	稍微
ahaoxing	绍兴
ahaoxu	少许
ahaoyang	朝阳
ahaoyu	少于
ahaozuo	少做
aharen	杀人
ahashi	扎实
ahashou	杀手
ahasi	杀死
ahe	这
ahean	涉案
ahebei	设备
ahebian	这边
ahebu	这不
ahebufen	这部分
ahebushi	这不是
ahecai	这才
ahechang	这场
aheci	这次
ahedian	这点
aheding	设定
aheduan	这段
ahedui	这对
aheer	这儿
ahefen	这份
ahege	这个
ahegeren	这个人
ahehua	这话
ahehuihua	社会化
ahei	这
aheidou	谁都
aheineng	谁能
aheiye	谁也
aheji	设计
ahejia	这家
ahejiang	浙江
ahejiangsheng	浙江省
ahejianshi	这件事
ahejidao	涉及到
ahejide	设计的
ahejishi	设计师
ahejiu	这就
ahejiuqu	这就去
ahejiushi	这就是
ahejuhua	这句话
ahekou	折扣
ahekuai	这块
ahekuan	这款
ahelei	这类
aheli	这里
aheliangge	这两个
aheliangzhong	这两种
ahelishi	这里是
aheliyou	这里有
aheme	这么
ahemeduo	这么多
ahemo	折磨
ahen	神
ahenbao	申报
ahenbian	身边
ahencai	身材
ahencha	审查
ahencheng	真诚
ahenchu	伸出
ahende	真的
ahendehen	真的很
ahendeshi	真的是
ahending	审定
ahendong	震动
ahendu	深度
ahenduan	诊断
ahendui	针对
ahenduixing	针对性
ahenfen	身份
ahenfenzheng	身份证
aheng	生
ahengao	身高
ahengban	正版
ahengce	政策
ahengchan	生产
ahengchang	正常
ahengchanli	生产力
ahengchanshang	生产商
ahengchanxian	生产线
ahengcheng	生成
ahengcun	生存
ahengda	盛大
ahengdan	圣诞
ahengdang	正当
ahengdanjie	圣诞节
ahengde	生的
ahengdong	生动
ahengdun	整顿
ahengduo	争夺
ahengfen	省份
ahengfu	政府
ahenggai	整改
ahenggao	升高
ahengge	整个
ahenggui	正规
ahenghao	正好
ahenghe	整合
ahenghuo	生活
ahenghuozhong	生活中
ahengji	升级
ahengjian	证件
ahengju	证据
ahengli	整理
ahenglun	争论
ahengmian	正面
ahengming	生命
ahengmingli	生命力
ahengnei	省内
ahengqi	生气
ahengqiu	征求
ahengqu	争取
ahengquan	证券
ahengque	正确
ahengquede	正确的
ahengri	生日
ahengru	正如
ahengshi	正式
ahengshou	征收
ahengshu	证书
ahengsi	生死
ahengtai	生态
ahengti	整体
ahengtian	整天
ahengwang	声望
ahengwen	正文
ahengwu	生物
ahengxiade	剩下的
ahengxiao	生效
ahengxie	政协
ahengya	生涯
ahengyi	生意
ahengyin	声音
ahengyu	剩余
ahengzai	正在
ahengzha	挣扎
ahengzhang	生长
ahengzheng	整整
ahengzhengfu	省政府
ahengzhi	政治
ahengzhibu	政治部
ahengzhou	郑州
ahengzhoushi	郑州市
ahengzhuang	症状
ahenhan	震撼
ahenhe	审核
ahenhou	身后
ahenji	审计
ahenjing	神经
ahenke	深刻
ahenkede	深刻的
ahenkong	真空
ahenli	真理
ahenme	什么
ahenmei	审美
ahenmene	什么呢
ahenmeshi	什么是
ahenmeye	什么也
ahenmi	神秘
ahenming	申明
ahenpan	审判
ahenpang	身旁
ahenpi	审批
ahenqi	神奇
ahenqing	申请
ahenqingbiao	申请表
ahenqingren	申请人
ahenqingshu	申请书
ahenru	深入
ahenshang	身上
ahenshen	深深
ahenshende	深深的
ahenshi	真是
ahenshide	真实的
ahenshixing	真实性
ahenshou	深受
ahensu	申诉
ahenti	身体
ahentou	渗透
ahenwei	身为
ahenxi	珍惜
ahenxiang	真相
ahenxin	身心
ahenxing	振兴
ahenyang	沈阳
ahenyangshi	沈阳市
ahenye	深夜
ahenyi	审议
ahenying	身影
ahenzhen	深圳
ahenzheng	真正
ahenzhenshi	深圳市
ahenzhi	甚至
ahenzhu	珍珠
ahenzi	身子
ahequ	社区
aheshi	这是
aheshihou	这时候
ahetao	这套
ahetiao	这条
ahetuan	社团
ahewei	这位
ahexian	涉嫌
ahexiang	这项
ahexiangji	摄像机
ahexiangtou	摄像头
ahexie	这些
ahexiedou	这些都
ahexieren	这些人
ahexue	哲学
aheyang	这样
aheyangjiu	这样就
aheyangzuo	这样做
aheye	这也
aheyeshi	这也是
aheyi	这一
aheyici	这一次
aheyidian	这一点
aheying	摄影
aheyiqie	这一切
aheyou	设有
aheyu	这与
ahezai	设在
ahezhang	这张
ahezhi	设置
ahezhiwei	设置为
ahezhong	这种
ahezuo	这座
ahguiding	按规定
ahhui	安徽
ahhuisheng	安徽省
ahi	是
ahian	治安
ahibai	失败
ahibaide	失败的
ahiban	值班
ahibei	是被
ahibiao	指标
ahibie	识别
ahibing	士兵
ahibo	直播
ahibuguo	只不过
ahibushi	是不是
ahicai	食材
ahichang	市场
ahichanghua	市场化
ahichangjia	市场价
ahichangshang	市场上
ahicheng	支撑
ahichi	支持
ahichixia	支持下
ahichu	指出
ahici	至此
ahicong	是从
ahida	十大
ahidai	时代
ahidang	适当
ahidangde	适当的
ahidao	知道
ahidaole	知道了
ahidaoxia	指导下
ahide	值得
ahideshi	指的是
ahidi	是滴
ahidian	试点
ahiding	指定
ahidingde	指定的
ahidong	制动
ahidu	制度
ahiduan	时段
ahidui	是对
ahieryue	十二月
ahifa	执法
ahifan	示范
ahifang	脂肪
ahifei	是非
ahifeichang	是非常
ahifen	十分
ahifou	是否
ahifu	支付
ahifubao	支付宝
ahigai	是该
ahige	是个
ahigei	是给
ahigong	职工
ahigu	事故
ahiguang	时光
ahiguonei	是国内
ahihang	支行
ahihao	只好
ahihe	适合
ahihen	是很
ahihou	时候
ahihui	只会
ahihuiguan	指挥官
ahiji	实际
ahijian	时间
ahijiande	时间的
ahijiang	是将
ahijianli	时间里
ahijiannei	时间内
ahijianwei	时间为
ahijianzhong	实践中
ahijiao	视角
ahijiazhuang	石家庄
ahijie	直接
ahijiebei	世界杯
ahijieshang	世界上
ahijin	至今
ahijing	直径
ahijishang	实际上
ahijuan	试卷
ahijue	视觉
ahike	时刻
ahikeyi	是可以
ahikong	时空
ahilei	之类
ahili	实力
ahiliang	质量
ahiliao	治疗
ahiling	指令
ahiliu	十六
ahiliyu	致力于
ahilu	之路
ahilv	之旅
ahimei	是没
ahimin	市民
ahiming	知名
ahimingdu	知名度
ahimuqian	是目前
ahinan	指南
ahinei	室内
ahineng	只能
ahinenghua	智能化
ahinengzai	只能在
ahini	是你
ahinian	十年
ahinin	是您
ahipin	视频
ahiqi	时期
ahiqian	之前
ahiqiande	之前的
ahiqing	事情
ahiqu	失去
ahiquan	职权
ahiqule	失去了
ahirang	是让
ahiren	使人
ahisan	十三
ahishang	时尚
ahishao	至少
ahishei	是谁
ahisheng	师生
ahishi	只是
ahishide	知识的
ahishishang	事实上
ahishu	指数
ahishui	是谁
ahishuo	是说
ahisuo	之所
ahisuoyi	之所以
ahita	是他
ahitamen	是他们
ahitang	食堂
ahiti	试题
ahiting	试听
ahitou	石头
ahitu	试图
ahiwai	之外
ahiwang	失望
ahiwei	只为
ahiwo	是我
ahiwoguo	是我国
ahiwu	食物
ahiwude	事物的
ahixi	实习
ahixia	之下
ahixian	实现
ahixiang	事项
ahixianle	实现了
ahixiao	直销
ahixiashi	直辖市
ahixing	执行
ahixu	只需
ahixuesheng	使学生
ahixuyao	只需要
ahiyan	实验
ahiyanshi	实验室
ahiyao	只要
ahiyaoni	只要你
ahiyaoyou	只要有
ahiye	职业
ahiyi	之一
ahiyige	是一个
ahiyijia	是一家
ahiyikuan	是一款
ahiying	适应
ahiyinglv	市盈率
ahiyinwei	是因为
ahiyiwu	十一五
ahiyixiang	是一项
ahiyizhong	是一种
ahiyong	使用
ahiyongde	使用的
ahiyongle	使用了
ahiyongyu	适用于
ahiyongzhe	使用者
ahiyou	只有
ahiyouyu	是由于
ahiyouzai	只有在
ahiyu	至于
ahiyuan	只愿
ahiyuanzhe	志愿者
ahiyue	制约
ahizai	实在
ahizaishi	实在是
ahizao	制造
ahizaoshang	制造商
ahizaoye	制造业
ahize	职责
ahizhan	实战
ahizhang	市长
ahizhe	使者
ahizhen	是真
ahizheng	执政
ahizhengfu	市政府
ahizhi	是指
ahizhong	之中
ahizhongguo	是中国
ahizhuang	时装
ahizhuo	执着
ahizi	狮子
ahizong	失踪
ahizu	十足
ahizuo	制作
ahizuode	制作的
ahjian	按键
ahjing	安静
ahli	案例
ahmo	按摩
ahniu	按钮
ahongbu	中部
ahongcai	仲裁
ahongcheng	忠诚
ahongda	重大
ahongdade	重大的
ahongdeng	中等
ahongdian	重点
ahongdu	中毒
ahongduan	终端
ahongduo	众多
ahongduode	众多的
ahongfang	中方
ahonggong	中共
ahongguancun	中关村
ahongguo	中国
ahongguodui	中国队
ahongguoren	中国人
ahonghua	中华
ahongjian	中间
ahongjie	中介
ahonglei	种类
ahongliang	重量
ahongliu	肿瘤
ahonglu	中路
ahongqi	中期
ahongqu	中去
ahongren	众人
ahongshan	中山
ahongshen	终身
ahongsheng	众生
ahongshi	重视
ahongwai	中外
ahongwen	中文
ahongwenban	中文版
ahongwu	中午
ahongxiao	中小
ahongxiaoxue	中小学
ahongxin	中心
ahongxue	中学
ahongxuesheng	中学生
ahongxun	中旬
ahongyang	中央
ahongyao	重要
ahongyaode	重要的
ahongyaoxing	重要性
ahongyi	中医
ahongyiyao	中医药
ahongyou	中有
ahongyu	终于
ahongyuan	中原
ahongzhi	种植
ahongzhong	种种
ahongzi	种子
ahongzu	种族
ahou	手
ahouan	手按
ahoubi	手臂
ahoubian	周边
ahoucang	收藏
ahoucangjia	收藏夹
ahouce	手册
ahoucheng	轴承
ahouci	首次
ahoudao	收到
ahoudaohou	收到后
ahoudaole	受到了
ahoudong	手动
ahoudu	首都
ahouduan	手段
ahoufa	守法
ahoufei	收费
ahougong	手工
ahougou	收购
ahouhou	售后
ahouhui	收回
ahouhuo	收获
ahouji	手机
ahoujia	售价
ahoujie	首届
ahoujielun	周杰伦
ahouke	授课
ahouli	受理
ahouliu	周六
ahoulu	收录
ahouming	寿命
ahoumo	周末
ahounian	周年
ahoupi	首批
ahouqi	周期
ahouqu	收取
ahouquan	授权
ahouri	周日
ahouru	收入
ahoushang	受伤
ahoushi	收拾
ahoushu	手术
ahousui	周岁
ahousun	受损
ahousuo	收缩
ahouwei	周围
ahouwu	周五
ahouxi	熟悉
ahouxia	手下
ahouxian	首先
ahouxianyao	首先要
ahouxu	手续
ahouxuan	首选
ahouxufei	手续费
ahouye	首页
ahouyi	收益
ahouyu	授予
ahouzhi	手指
ahouzhong	手中
ahpai	安排
ahquan	安全
ahquande	安全的
ahquanxing	安全性
ahshi	按时
ahuahao	抓好
ahuai	帅
ahuaige	帅哥
ahuaixian	率先
ahuajin	抓紧
ahuan	转
ahuanbian	转变
ahuandao	转到
ahuandong	转动
ahuanfa	转发
ahuang	双
ahuangbei	装备
ahuangchong	双重
ahuangda	壮大
ahuangfang	双方
ahuangji	双击
ahuangkuang	状况
ahuangshi	装饰
ahuangshou	双手
ahuangtai	状态
ahuangtaixia	状态下
ahuangxiang	双向
ahuangxiu	装修
ahuangyan	双眼
ahuangzhi	装置
ahuanhua	转化
ahuanhuan	转换
ahuanhuawei	转化为
ahuanjia	专家
ahuanke	专科
ahuanlan	专栏
ahuanli	专利
ahuanmaidian	专卖店
ahuanmen	专门
ahuanqian	赚钱
ahuanqu	专区
ahuanrang	转让
ahuanren	专人
ahuanru	转入
ahuanshen	转身
ahuanti	专题
ahuantie	转贴
ahuanwei	转为
ahuanxian	专线
ahuanxiang	转向
ahuanxie	撰写
ahuanxing	转型
ahuanye	专业
ahuanyehua	专业化
ahuanyi	转移
ahuanyong	专用
ahuanzai	转载
ahuanzhi	专职
ahuaxin	刷新
ahuazhu	抓住
ahuban	主办
ahubao	珠宝
ahubian	主编
ahubiao	鼠标
ahubu	逐步
ahucai	蔬菜
ahuce	注册
ahucebiao	注册表
ahucema	注册码
ahuchi	主持
ahuchiren	主持人
ahuchu	输出
ahudao	主导
ahude	书的
ahudian	书店
ahuding	注定
ahudong	主动
ahuduo	诸多
ahue	数额
ahufa	书法
ahufang	住房
ahufu	祝福
ahuguan	主管
ahuhai	珠海
ahuhe	祝贺
ahuhou	术后
ahuhua	书画
ahuide	水的
ahuidian	水电
ahuifen	水分
ahuiguo	水果
ahuijiao	睡觉
ahuijing	水晶
ahuijiu	追究
ahuiku	水库
ahuikuan	税款
ahuilv	税率
ahuimian	睡眠
ahuineng	谁能
ahuini	水泥
ahuiping	水平
ahuiqiu	追求
ahuishou	税收
ahuiwu	税务
ahuiye	谁也
ahuiyuan	水源
ahuizhi	水质
ahuizhong	水中
ahuizhun	水准
ahuiziyuan	水资源
ahuizong	追踪
ahuji	主机
ahujian	逐渐
ahujiang	主讲
ahuju	数据
ahujue	主角
ahujuku	数据库
ahujuxian	数据线
ahukong	数控
ahuli	树立
ahulian	熟练
ahuliang	数量
ahuliu	主流
ahuma	数码
ahumian	书面
ahuming	著名
ahumingde	著名的
ahumu	数目
ahun	准
ahunbei	准备
ahunbian	顺便
ahunde	顺德
ahunian	逐年
ahunjian	瞬间
ahunli	顺利
ahunque	准确
ahunquexing	准确性
ahunxu	顺序
ahunze	准则
ahunzhe	顺着
ahuo	说
ahuobuding	说不定
ahuochu	说出
ahuodao	说到
ahuode	说的
ahuofa	说法
ahuoguo	说过
ahuohua	说话
ahuole	说了
ahuoli	着力
ahuomian	桌面
ahuoming	说明
ahuomingshu	说明书
ahuoni	说你
ahuoqi	说起
ahuoshang	桌上
ahuoshenme	说什么
ahuoshi	说是
ahuoshou	着手
ahuoshuo	说说
ahuota	说他
ahuowan	说完
ahuowo	说我
ahuoyue	卓越
ahuozhe	说着
ahuozhong	着重
ahuozi	桌子
ahuren	主人
ahuru	输入
ahushe	注射
ahushi	舒适
ahushou	助手
ahushu	叔叔
ahusong	输送
ahusu	住宿
ahusuo	住所
ahuti	主题
ahuxi	熟悉
ahuxiao	注销
ahuxie	书写
ahuxing	属性
ahuxue	数学
ahuyan	主演
ahuyao	主要
ahuyaoshi	主要是
ahuyaoyou	主要有
ahuye	主页
ahuyi	注意
ahuyidao	注意到
ahuyili	注意力
ahuying	主营
ahuyu	属于
ahuyuan	住院
ahuzai	住在
ahuzhai	住宅
ahuzhang	主张
ahuzhi	数值
ahuzhong	注重
ahuzi	数字
ahuzihua	数字化
ahuzu	数组
ahuzuo	著作
ahuzuoquan	著作权
ahwei	安慰
ahxia	按下
ahzhao	按照
ahzhi	安置
ahzhu	按住
ahzhuang	安装
aiache	下车
aiaci	下次
aiada	下达
aiade	下的
aiadie	下跌
aiafa	下发
aiafang	下方
aiahang	爱上
aiaheng	癌症
aiahua	下滑
aiaibing	艾滋病
aiain	爱心
aiaing	爱情
aiaji	夏季
aiajiang	下降
aiake	侠客
aialai	下来
aiale	下了
aialie	下列
aiamen	厦门
aiamenshi	厦门市
aiamian	下面
aianbei	前辈
aianchang	现场
aiancheng	县城
aiandai	现代
aiandaihua	现代化
aiande	显得
aianding	签订
aiane	限额
aianfa	宪法
aianfang	前方
aianfeng	先锋
aiang	想
aiangbi	相比
aiangce	相册
aiangcha	相差
aiangchu	相处
aiangcun	乡村
aiangda	强大
aiangdang	相当
aiangdangyu	相当于
aiangdao	想到
aiangde	强的
aiangdiao	强调
aiangdichu	相抵触
aiangdu	强度
aiangdui	相对
aiangduiyu	相对于
aiangfa	想法
aiangfan	相反
aianggang	香港
aiangguan	相关
aianghu	相互
aianghua	强化
aiangji	相机
aiangjian	强奸
aiangjiao	香蕉
aiangjiehe	相结合
aiangjing	强劲
aiangjiu	抢救
aiangli	强力
aianglian	相连
aianglie	强烈
aiangmu	项目
aiangni	向你
aiangpian	相片
aiangpo	强迫
aiangqi	想起
aiangqian	向前
aiangqing	详情
aiangrang	想让
aiangshang	向上
aiangshehui	向社会
aiangshi	像是
aiangshiying	相适应
aiangshou	享受
aiangshui	香水
aiangsi	相似
aiangsu	像素
aiangta	向他
aiangtong	相同
aiangwai	向外
aiangwang	向往
aiangwei	香味
aiangwo	向我
aiangxi	详细
aiangxia	向下
aiangxiang	想象
aiangxiangde	想象的
aiangxin	相信
aiangxing	强行
aiangyao	想要
aiangying	相应
aiangyou	享有
aiangyu	相遇
aiangzai	想在
aiangzhe	想着
aiangzhen	乡镇
aiangzheng	象征
aiangzhi	强制
aianhou	先后
aianhua	鲜花
aianhuo	现货
aianjia	现价
aianjiang	现将
aianjie	衔接
aianjin	现金
aianjinde	先进的
aianjing	前景
aianka	显卡
aianke	千克
aiankuan	前款
aianlai	前来
aianli	潜力
aianlie	前列
aianmian	前面
aianming	签名
aianmu	羡慕
aianneng	潜能
aianqi	前期
aianqian	先前
aianran	显然
aianren	现任
aianru	陷入
aianrushi	嵌入式
aianshang	线上
aiansheng	先生
aianshi	显示
aianshichu	显示出
aianshide	现实的
aianshiping	显示屏
aianshiqi	显示器
aianshu	签署
aiansuo	线索
aianti	前提
aiantiao	线条
aiantixia	前提下
aiantu	前途
aianwa	千瓦
aianwan	千万
aianwang	前往
aianwei	纤维
aianxiang	现象
aianxing	现行
aianyan	前沿
aianyi	现已
aianyin	牵引
aianyou	现有
aianyue	签约
aianzai	现在
aianzaishi	现在是
aianzhe	前者
aianzheng	签证
aianzhengfu	县政府
aianzhi	限制
aianzhu	显著
aianzhuang	现状
aianzhude	显著的
aianzi	签字
aiao	小
aiaochu	消除
aiaodao	笑到
aiaode	小的
aiaodi	小弟
aiaodian	笑点
aiaodu	消毒
aiaoer	小儿
aiaofang	消防
aiaofei	消费
aiaofeipin	消费品
aiaofeizhe	消费者
aiaoguo	效果
aiaohai	小孩
aiaohaizi	小孩子
aiaohao	消耗
aiaohua	笑话
aiaohuozi	小伙子
aiaojie	小姐
aiaokeli	巧克力
aiaoli	效力
aiaoliang	销量
aiaolv	效率
aiaomai	小麦
aiaomie	消灭
aiaoneng	效能
aiaonvhai	小女孩
aiaopengyou	小朋友
aiaoqiao	悄悄
aiaoqu	小区
aiaorong	笑容
aiaosheng	笑声
aiaoshi	小时
aiaoshihou	小时候
aiaoshinei	小时内
aiaoshou	销售
aiaoshoue	销售额
aiaoshuo	小说
aiaoxi	消息
aiaoxiao	小小
aiaoxin	小心
aiaoxing	小型
aiaoxue	小学
aiaoxuesheng	小学生
aiaoyao	逍遥
aiaoyi	效益
aiaoying	效应
aiaoyouxi	小游戏
aiaoyu	小于
aiaoyuan	校园
aiaozhang	校长
aiaozi	小子
aiaozu	小组
aiaqu	下去
aiashu	下属
aiatan	洽谈
aiatian	夏天
aiawu	下午
aiayibu	下一步
aiayige	下一个
aiayipi	下一批
aiayipian	下一篇
aiayiye	下一页
aiazai	下载
